date;cultural_venues;gastronomy;essential_retail;non-essential_retail;major_events;events_and_gatherings;public_gatherings;traceability;tourism;traveling;school_facilities;university_facilities;sport_facilities;medical_facilities;mouth_and_nose_covering;curfew;new_infections
2021-04-24;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_10dqua;closed;closed;closed;limited_visitsw/FFP2_test;mandatory_medical;10pm_5am_12act;338
2021-04-25;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_10dqua;closed;closed;closed;limited_visitsw/FFP2_test;mandatory_medical;10pm_5am_12act;315
2021-04-26;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_10dqua;closed;closed;closed;limited_visitsw/FFP2_test;mandatory_medical;10pm_5am_12act;258
2021-04-27;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_10dqua;closed;closed;closed;limited_visitsw/FFP2_test;mandatory_medical;10pm_5am_12act;228
2021-04-28;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_10dqua;closed;closed;closed;limited_visitsw/FFP2_test;mandatory_medical;10pm_5am_12act;302
2021-04-29;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_10dqua;closed;closed;closed;limited_visitsw/FFP2_test;mandatory_medical;10pm_5am_12act;292
2021-04-30;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_10dqua;closed;closed;closed;limited_visitsw/FFP2_test;mandatory_medical;10pm_5am_12act;291
2021-05-01;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_vac_10dqua;openw/tst_vac;openw/tst_vac;closed;limited_visitsw/FFP2_test;mandatory_mixed;10pm_5am_12act;416
2021-05-02;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_vac_10dqua;openw/tst_vac;openw/tst_vac;closed;limited_visitsw/FFP2_test;mandatory_mixed;10pm_5am_12act;251
2021-05-03;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_vac_10dqua;openw/tst_vac;openw/tst_vac;closed;limited_visitsw/FFP2_test;mandatory_mixed;10pm_5am_12act;184
2021-05-04;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/app_negtst;prohibited;prohibitedw/ex_outdoors;allowed_2h_1p;yes;prohibited;ra_testM_vac_10dqua;openw/tst_vac;openw/tst_vac;closed;limited_visitsw/FFP2_test;mandatory_mixed;10pm_5am_12act;247
